Program:    MAESPA: version Feb 2014                                                        
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: sensible heat flux                             W m-2
qe: latent heat flux                               W m-2
qn: net radiation                                  W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR PSILCAN TOTSOILRES GSCAN GBHCAN WATCAPIL ROOTFRONT  
      0      0     3464.4426      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1     3464.8923      2958.6655         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000        -0.0053         0.0000         0.0010         0.0000         0.1793         1.0000        10.8338         0.0000       -40.4094        29.5753       409.2504       403.6365         1.8921        15.3643         0.0521        19.2740        18.2285        24.2220         0.1494         0.1531         0.0000  -0.0053181737   0.0000000304   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1      2     3464.8918      2958.6633         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000        -0.0053         0.0000         0.0010         0.0000         0.1793         1.0000        10.5688         0.0000       -40.3186        29.7498       408.7251       403.1113         1.1224        15.3763         0.0521        19.1800        18.1276        24.1591         0.1493         0.1529         0.0000  -0.0053291139   0.0000000306   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1      3     3464.8918      2958.6614         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0053         0.0000         0.0010         0.0000         0.1793         1.0000        10.2988         0.0000       -40.2292        29.9303       408.1927       402.5794         1.1199        15.3864         0.0521        19.0850        18.0258        24.0966         0.1492         0.1528         0.0000  -0.0053400225   0.0000000308   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1      4     3464.8921      2958.6599         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000        10.5552         0.0000       -40.2756        29.7203       408.0030       402.3826         1.1112        15.3044         0.0521        19.0450        18.0042        24.0351         0.1491         0.1527         0.0000  -0.0053508999   0.0000000310   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1      5     3464.8911      2958.6572         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000        10.7990         0.0000       -40.3208        29.5219       407.8070       402.1797         1.1126        15.2230         0.0521        19.0040        17.9813        23.9746         0.1489         0.1525         0.0000  -0.0053617447   0.0000000312   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1      6     3464.8914      2958.6555         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000         9.8862         0.0000       -40.1216        30.2351       406.7365       401.0949         1.1267        15.2473         0.0521        18.8390        17.7725        23.9132         0.1488         0.1524         0.0000  -0.0053725606   0.0000000314   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1      7     3464.8918      2958.6541         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000         8.9119         0.0000       -39.8876        30.9759       405.6685       400.0129         1.1176        15.3070         0.0521        18.6740        17.5570        23.8508         0.1487         0.1523         0.0000  -0.0053833425   0.0000000316   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1      8     3464.8916      2958.6519         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000         9.4553         0.0000       -40.1056        30.6504       405.4265       399.7664         1.0963        15.0482         0.0521        18.6210        17.5594        23.7896         0.1486         0.1521         0.0000  -0.0053940960   0.0000000318   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1      9     3464.8911      2958.6494         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000         9.9429         0.0000       -40.2973        30.3544       405.1859       399.5209         1.1020        14.8155         0.0521        18.5680        17.5569        23.7298         0.1484         0.1520         0.0000  -0.0054048207   0.0000000320   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     10     3464.8914      2958.6477         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0054         0.0000         0.0010         0.0000         0.1793         1.0000        10.3442         0.0000       -40.2746        29.9303       405.3697       399.7103         1.0993        14.8715         0.0521        18.5930        17.5822        23.6713         0.1483         0.1519         0.0000  -0.0054155146   0.0000000322   0.0000000000   0.0000000000   0.0000000000   0.5269851089
